3J,阿莱恩斯航空公司,AIR ALLIANCE
4D,西奈航空公司,AIR SINAI
4N,北部航空公司,AIR NORTH
4V,船夫航空公司,VOYAGEUR AIRWAYS
5F,北极圈航空服务公司,ARCTIC CIRCLE AIR
5L,玻利维亚航空公司,AEROSUR
5X,联合包裹公司,UNITED PARCEL SERVICE
6A,阿维亚克萨航空公司,AVIACSA
6E,马尔莫航空公司,MALMO AVIATION
6U,乌克兰航空公司,AIR UKRAINE
6V,维加斯航空公司,AIR VEGAS
6Y,尼加拉瓜航空公司,NICARAGUENSESDE AVIACION
7F,冠军航空公司,FIRST AIR
7H,纪元航空公司,ERA AVIATION
8G,万能捷运公司,GP EXPRESS AIRLINES
8J,塔尔喷气航空公司,JET ALL
8S,塞尔航空公司,SAL AIR
9A,大西洋航空公司,AIR ATLANTIC
9C,吉尔航空公司,GILL AIRWAYS
9E,捷运航空公司,EXPRESS AIRLINES
9L,科尔根航空公司,COLGAN AIR
9N,跨州航空公司,TRANSSTATES AIRLINES
9P,帕兰吉航空公司,PELANGI AIR
9U,摩尔多瓦航空公司,AIR MOLDOVA
9W,喷气机航空公司,JET AIRWAYS
AA,亚美利加国际航空公司,AMERICAN AIRLINES
AC,加拿大航空公司,AIR CANADA
AF,法国航空公司,AIR FRANCE
AH,阿尔及利亚航空公司,AIR ALGERIE
AI,印度航空公司,AIR INDIA
AJ,比利时空运公司,AIR BELGIUM
AM,墨西哥航空公司,AEROMEXICO
AN,澳大利亚安塞特航空公司,ANSETT AUSTRALIA
AO,西班牙商业航空公司,AVIACO
AQ,阿洛哈航空公司,ALOHA AIRLINES
AR,阿根廷航空公司,AEROLINEAS ARGENTINAS
AS,阿拉斯加航空公司,ALASKA AIRLINES
AT,摩洛哥王家航空公司,ROYALAIRMAROC
AU,奥斯特拉尔航空公司,AUSTRAL
AV,哥伦比亚国家航空公司,AVIANCA
AY,芬兰航空公司,FINN AIR
AZ,意大利航空公司,ALITALIA
B2,白令航空公司,BELAVIA
B4,博雅航空公司,BHOJA AIR
BA,英国航空公司,BRITISH AIRLINE
BD,英国中部航空公司,BRITISH MIDLAND
BI,文莱王家航空公司,ROYAL BRUNEI AIRLINES
BL,太平洋航空公司,PACIFIC AIRLINES
BO,印度尼西亚布拉克航空公司,BOURAQ INDONESIA
BR,长荣航空公司,EVA AIRWAYS
BU,布拉森斯南美和远东空运公司,BRAATHENSS.A.F.E
C2,加勒比航空公司,AIR CARIBBEAN
C4,卡里亚库航空公司,AIR LINESOFCARRIACOU
C8,芝加哥快运航空公司,CHICAGO EXPRESS AIRLINES
CA,中国国际航空公司,AIR CHINA
CF,福塞特航空公司,COMPANIADE AVIACION FAUCETT
CG,米尔恩湾航空公司,MBAPTYLTD.
CI,中华航空公司,CHINA AIRLINES
CJ,中国北方航空公司,CHINA NORTHERN AIRLINES
CM,巴拿马空运公司,COPA
CO,大陆航空公司,CONTINENTAL AIRLINES
CP,加拿大国际航空公司,CANADIAN AIRLINES INTERNATIONAL
CU,古巴统一航空公司,CUBANA
CW,马绍尔群岛航空公司,AIR MARSHALL ISLANDS
CX,国泰航空公司,CATHAY PACIFIC AIRWAYS
CY,塞浦路斯航空公司,CYPRUS AIRWAYS
CZ,中国南方航空公司,CHINA SOUTHERN AIRLINES
D3,达洛航空公司,DAALLO AIRLINES
D4,艾利斯德尔瑟航空公司,ARI ESDELSUR
DB,不列特国际航空公司,BRIT AIR
DC,金色航空公司,GOLDEN AIRFLYG
DE,康多尔航空公司,CONDORFLUGDIENST
DI,德英航空公司,DEUTSCHEBA
DL,三角航空公司,DELTA AIRLINES
DM,梅尔斯克航空公司,MAERSKAIR
DS,塞内加尔航空公司,AIR SENEGAL
DT,哥拉航空公司,TAAG-ANGOLA AIRLINES
E4,亚洲航空公司,AEROASIA
E9,恩索尔航空公司,ENSORAIR
EB,埃默里世界航空公司,EMERYWORLDWIDE
ED,夏洛特航空公司,CCAIR
EF,远东航空运输公司,FAR EASTERN AIR TRANSPORT
EG,日本亚洲航空公司,JAPAN ASIA AIRWAYS
EH,厄瓜多尔航空公司,SAETA
EI,爱尔兰航空公司,AERLINGUS
EK,酋长国际航空公司,EMIRATES
EL,日本短途航空公司,AIR NIPPON
EQ,厄瓜多尔军运航航空公司,TAME
ET,埃塞俄比亚航空公司,ETHIOPIAN AIRLINES
EU,厄瓜多尔航空公司,ECUATORIANA
EZ,常青国际航空公司,EVERGREENINT'L AIRLINES
FA,芬兰空运公司,FINN AVIATION
FB,法恩航空公司,FINE AIR
FF,宝塔航空公司,TOWER AIR
FG,阿里亚纳阿富汗航空公司,ARIANA AFGHAN AIRLINES
FI,冰岛航空公司,ICELAND AIR
FJ,太平洋航空公司,AIR PACIFIC
FM,中国上海航空公司,SHANGHAI AIRLINES
FQ,阿鲁巴航空公司,AIR ARUBA
FR,瑞安航空公司,RYAN AIR
G8,长城公司,GREAT WALL AIRLINE
GA,印度尼西亚航空公司,GARUDAINDOESIA
GD,塔埃萨航空公司,TAESA
GE,环亚航空公司,TRANSASIA AIRWAYS
GF,海湾航空公司,GULFAIR
GH,加纳航空公司,GHANA AIRWAYS
GN,加蓬航空公司,AIR GABON
GQ,高天航空公司,BIGSKY AIRLINES
GU,危地马拉航空公司,AVIATECA
GV,里加航空公司,RIGA AIRLINES
GY,圭亚那航空公司,GUYANA AIRWAY SCORPORATION
H4,中国海南航空公司,HAINAN AIRLINES
HA,夏威夷航空公司,HAWAIIAN AIRLINES
HD,纽约直长机公司,NEWYORK HELICOPTERS
HF,哈帕克劳埃德航空公司,HAPAGLLOYD
HJ,霍尔姆斯特鲁姆航空公司,HOLMSTROEM AIR
HM,塞舌尔航空公司,AIR SEYCHELLES
HP,亚美利加西方航空公司,AMERICAWEST AIRLINES
HU,中国海南航空公司,HAINAN AIRLINES
HV,泛航航空公司,TRANSAVIA AIRLINES
HX,香港航空,HONGKONG AIRLINES
HY,乌兹别克斯坦航空公司,UZBEKISTANAIRWAYS
IB,西班牙航空公司,IBERIA
IC,印度航空公司,INDIAN AIRLINES
IE,所罗门航空公司,SOLOMON AIRLINES
IF,大华航空公司,GREATCHINA AIRLINES
IG,默里迪恩纳航空公司,MERIDIANA
IH,猎鹰航空公司,FALCON AVIATION
II,商业航空公司,BUSINESS AIR
IJ,欧洲跨地区航空公司,T.A.T.EUROPEAN AIRLINES
IL,伊斯坦布尔航空公司,ISTANBUL AIRLINES
IR,伊朗航空公司,IRAN AIR
IT,法国国内航空公司,AIR INTEREUROPE
IW,乌特雷默法国航空公司,AOMFRENCH AIRLINES
J2,阿塞拜疆航空公司,AZERBAIJAN HAVAYOLLARY
J7,瓦卢喷气机航空公司,VALUE JET AIRLINE
JB,喷气直升机航空公司,HELIJET AIRWAYS
JE,曼克斯航空公司,MANX AIRLINES
JH,诺德斯特航空公司,NORDESTE
JK,斯潘航空公司,SPAN AIR
JL,日本航空公司,JAPAN AIRLINES
JM,牙买加航空公司,AIR JAMAICA(1968)LTD.
JP,亚得利亚航空公司,ADRIA IRWAYS
JR,加利福尼亚航空公司,AERO CALIFORNIA
JS,朝鲜民航,AIR KORYO
JU,南斯拉夫航空公司,JAT
JW,箭航空公司,ARROWAIR
JY,泽西欧洲航空公司,JERSEYEUROPEAN AIRWAYS
KA,港龙航空公司,DRAGON AIR
KB,德鲁克航空公司,DRUK-AIR
KD,肯德尔航空公司,KENDELL AIRLINES
KE,大韩航空公司,KOREAN AIR
KF,博特尼亚航空公司,AIR BOTNIA
KK,地区航空运输公司,TRANSPORTES AEREOSREGIONAIS
KL,荷兰王家航空公司,KLM-ROYALDUTCH AIRLINES
KM,马耳他航空公司,AIR MALTA
KP,基维国际航空公司,KIWI INTERNATIONAL AIRLINES
KQ,肯尼亚航空公司,KENYA AIRWAYS
KR,卡尔航空公司,KAR AIR
KU,科威特航空公司,KUWAIT AIRWAYS
KW,狂欢节航空公司,CARNIVAL AIRLINES
KX,开曼航空公司,CAYMAN AIRWAYS
LA,智利国家航空公司,LAN-CHILE
LC,加勒比航空公司,LINEASAEREASDELCARIBE
LD,香港航空公司货运公司,AHK AIR HONGKONG
LG,卢森堡航空公司,LUX AIR
LH,德国汉莎航空公司,LUFTHANSA
LI,背风群岛航空公司,LIAT
LJ,塞拉国家航空公司,SIERRANATIONAL AIRLINES
LM,安的列斯航空公司,ALM
LO,波兰航空公司,LOT-POLISH AIRLINES
LR,哥斯达黎加航空公司,LACSA
LT,温特内曼国际航空公司,L.T.U INTERNATIONAL AIRWAYS
