ALTAY 阿勒泰(AAT)
XINGYI 兴义(ACX)
ANKANG 安康(AKA)
AUCKLAND 奥克兰(AKL)
AKSU 阿克苏(AKU)
ALMATY 阿拉木图(ALA)
AMSTERDAM 阿姆斯特丹(AMS)
ANCHORAGE 安克雷奇(ANC)
ANSHAN 鞍山(AOG)
ANQING 安庆(AQG)
ANYANG 安阳(AYN)
ANSHUN 安顺(AVA)
BAOTOU 包头(BAV)
BENGBU 蚌埠(BFU)
BEIHAI 北海(BHY)
BANGKOK 曼谷(BKK)
CHANGDU 邦达(BPX)
BLAGOVESCHENSK 布拉格维申斯科(BQS)
BRUSSELS 布鲁塞尔(BRU)
BAOSHAN 保山(BSD)
BUCHAREST 布加勒斯特(BUH)
CHANGAN 长安(CAL)
GUANGZHOU 广州(CAN)
CHAOZHOU 潮州(CCC)
CHANGDE 常德(CGD)
ZHENGZHOU 郑州(CGO)
CHANGCHUN 长春(CGQ)
CHAOYANG 朝阳(CHG)
CHICAGO 芝加哥(CHI)
JIUQUAN 酒泉(CHW)
CHIFENG 赤峰(CIF)
CHANGZHI 长治(CIH)
CHEJU 济州(CJU)
CHONGQING 重庆(CKG)
CHANGHAI 长海(CNI)
COPENHAGEN 哥本哈根(CPH)
CHANGSHA 长沙(CSX)
CHENGDU 成都(CTU)
CHANGZHOU 常州(CZX)
ZHENGZHOU 郑州(CZY)
DATONG 大同(DAT)
DAXIAN 达州(DAX)
DANDONG 丹东(DDG)
DELHI 德里(DEL)
DONGYING 东营(DGY)
DIQING 迪庆香格里拉(DIG)
DALIAN 大连(DLC)
DALI 大理(DLU)
DUNHUANG 敦煌(DNH)
DONGYING 东营(DOY)
DONGSHENG 鄂尔多斯(DSN)
DETROIT 底特律(DTW)
ZHANGJIAJIE 张家界(DYG)
DAZU 大足(DZU)
ENSHI 恩施(ENH)
YANAN 延安(ENY)
FUKUSHIMA 福岛(FKS)
PYONGYANG 平壤(FNJ)
FUZHOU 福州(FOC)
FUYANG 阜阳(FOG)
FRANKFURT 法兰克福(FRA)
BISHKEK 比什凯克(FRU)
FUKUOKA 福冈(FUK)
FOSHAN 佛山(FUO)
FUYUN 富蕴(FYN)
GUANGHAN 广汉(GHN)
GUANGYUAN 广元(GNY)
GOLMUD 格尔木(GOQ)
HAIKOU 海口(HAK)
HANOI 河内(HAN)
HANDAN 邯郸(HDG)
HEIHE 黑河(HEK)
HELSINKI 赫尔辛基(HEL)
HOHHOT 呼和浩特(HET)
HEFEI 合肥(HFE)
HANGZHOU 杭州(HGH)
HUANGHUA 长沙/黄花(HHA)
HIROSHIMA 广岛(HIJ)
CHINJU 清州(HIN)
HUAIHUA 怀化(HJJ)
